Designator,Mid X,Mid Y,Rotation,Layer
C1,61.631348,85.54677,180.0,top
C10,101.269088,54.565692,270.0,top
C11,95.554112,49.252004,0.0,top
C12,98.858094,54.565692,270.0,top
C13,96.447099,54.565692,270.0,top
C2,80.728497,48.123341,90.0,top
C27,75.714945,75.983692,180.0,top
C3,82.564085,48.123341,90.0,top
C33,38.436234,40.494285,0.0,top
C34,37.266903,43.379309,270.0,top
C37,95.253293,21.689186,270.0,top
C39,85.987179,19.773671,270.0,top
C4,77.664287,55.152608,270.0,top
C41,86.147163,15.712424,270.0,top
C42,59.012691,30.892141,270.0,top
C43,95.842679,25.943291,0.0,top
C44,58.97093,25.396296,90.0,top
C5,75.433682,55.152608,270.0,top
C50,19.8,37.02,270.0,top
C58,63.542371,79.634403,180.0,top
C59,66.980695,85.732316,180.0,top
C6,73.203078,55.152608,270.0,top
C60,74.370769,34.339624,90.0,top
C61,87.072889,34.462737,90.0,top
C62,72.453121,34.312804,90.0,top
C63,79.927139,28.951057,90.0,top
C64,82.416793,34.388169,90.0,top
C65,84.693812,34.4058,90.0,top
C66,82.785884,28.551726,180.0,top
C7,72.476042,49.457091,0.0,top
C8,103.693004,47.666924,90.0,top
C9,105.603624,47.685636,90.0,top
D1,82.927319,57.865111,270.0,top
D2,104.836059,54.949733,270.0,top
FB1,97.528227,15.332174,90.0,top
J4,5.1,42.0,270.0,top
J5,10.835577999999998,13.968056999999998,0.0,top
J8,100.099196,33.565327,90.0,top
L1,86.199232,50.230931,270.0,top
L2,109.377518,49.836891,270.0,top
L7,78.087303,38.061888,0.0,top
R1,77.909977,45.780082,180.0,top
R2,74.091383,47.462746,0.0,top
R27,75.679967,74.318113,0.0,top
R28,78.455072,79.754964,270.0,top
R29,76.169743,27.057933,90.0,top
R3,72.441383,51.328708,0.0,top
R30,77.809529,27.048399,90.0,top
R31,82.774059,31.656302,180.0,top
R37,13.627889,39.98236,180.0,top
R38,12.325,45.075,270.0,top
R39,14.025,45.075,90.0,top
R4,100.784198,45.130696,180.0,top
R41,89.575062,85.48927,0.0,top
R42,72.20829,85.508935,180.0,top
R5,97.206819,47.306412,0.0,top
R51,30.825,47.6,0.0,top
R53,82.785194,30.110439,180.0,top
R55,30.825,45.9,180.0,top
R6,95.575032,51.030233,0.0,top
R71,15.3,36.4,0.0,top
R75,86.124019,31.600708,180.0,top
S1,77.92064,84.065318,180.0,top
S3,96.1,84.3,0.0,top
U1,60.937766,83.122895,180.0,top
U11,80.18485,17.107614,0.0,top
U12,51.458532,28.1,180.0,top
U14,20.445,42.125,0.0,top
U15,12.625,42.1,90.0,top
U2,62.85552,77.101112,180.0,top
U23,78.073016,32.929321,270.0,top
U3,66.32624,83.183108,180.0,top
U4,77.727371,50.331568,90.0,top
U5,100.834118,49.874019,90.0,top
U9,42.0,42.0,180.0,top
